李强	9879
李勇	9492
张勇	9265
王勇	9062
王强	8743
李伟	8461
张敏	8457
刘勇	8158
李静	8008
张伟	7986
陈勇	7940
张静	7550
杨勇	7471
刘强	7298
王敏	7281
刘伟	7145
李波	7135
张强	7009
李燕	6994
刘敏	6982
李杰	6918
张丽	6894
王伟	6818
张涛	6794
陈静	6780
张燕	6780
李丹	6735
王静	6622
李敏	6516
刘洋	6365
李涛	6311
李霞	6226
李军	6211
王涛	6194
陈刚	6191
陈伟	6183
李娟	6134
杨波	6066
刘涛	6018
陈林	6006
王丽	5956
李林	5928
张杰	5892
刘波	5889
张莉	5808
王芳	5767
杨静	5731
杨敏	5679
李艳	5623
王丹	5592
陈敏	5588
王波	5546
王燕	5485
杨丽	5438
陈丽	5420
李刚	5312
王超	5301
刘杰	5299
刘燕	5294
杨杰	5281
刘丽	5249
陈杰	5234
杨超	5228
杨涛	5215
陈燕	5124
陈涛	5109
张波	5093
刘刚	5053
王刚	5047
王英	5037
刘静	5027
张林	5020
刘军	5016
李红	5014
陈波	5012
张艳	5010
李超	4978
黄勇	4976
张建	4963
王杰	4938
杨林	4930
李俊	4870
李平	4829
王磊	4816
王艳	4769
王平	4760
刘丹	4737
王军	4729
刘英	4637
王娟	4626
李英	4605
张琴	4577
李雪	4576
李萍	4566
刘艳	4562
李莉	4546
张军	4530
杨洋	4495
王莉	4483
王婷	4439
李玲	4414
陈强	4411
李丽	4362
李建	4353
王霞	4350
李琴	4347
陈龙	4344
杨梅	4339
杨军	4315
王林	4254
张婷	4250
张磊	4238
王建	4237
张宇	4202
王琴	4197
杨伟	4176
李鑫	4133
李秀英	4126
陈红	4109
李婷	4082
张英	4062
李蓉	4015
黄伟	4015
刘莉	3987
李明	3973
陈英	3966
杨帆	3949
杨琴	3918
张超	3918
张玲	3892
刘超	3873
刘佳	3859
陈艳	3857
刘霞	3853
陈军	3820
张俊	3816
周勇	3792
张鹏	3766
周敏	3753
刘芳	3742
张平	3714
黄敏	3685
王鹏	3671
陈浩	3651
刘娟	3638
陈超	3627
陈建	3623
陈莉	3610
刘磊	3588
张华	3540
陈霞	3523
李佳	3522
张霞	3509
李彬	3506
张秀英	3487
李倩	3475
刘婷	3466
刘鑫	3442
王萍	3419
王鑫	3419
杨丹	3395
王宇	3388
李娜	3384
王秀英	3382
刘建	3364
王俊	3359
周静	3343
张蓉	3342
黄英	3341
刘俊	3327
刘萍	3320
杨建	3315
刘平	3296
李雪梅	3285
刘琴	3282
杨莉	3273
周强	3271
杨婷	3267
陈蓉	3266
李斌	3262
陈娟	3255
杨艳	3242
罗勇	3225
张倩	3208
杨阳	3194
陈鹏	3181
王飞	3180
周伟	3164
李梅	3153
李兵	3153
刘林	3136
李阳	3130
王浩	3122
李杨	3109
王玲	3107
张红	3105
张丹	3103
陈瑶	3095
张鑫	3084
陈俊	3083
杨柳	3074
刘欢	3073
陈秀英	3061
张萍	3052
张浩	3049
刘红	3043
杨霞	3042
刘宇	3037
黄涛	3032
陈玲	3026
陈亮	3012
杨平	3002
黄丽	2992
黄静	2986
杨红	2985
王倩	2985
李华	2980
杨娟	2980
唐勇	2968
罗敏	2965
刘彬	2946
陈宇	2926
罗丹	2901
黄强	2899
何勇	2892
杨华	2892
杨燕	2879
陈平	2878
陈华	2874
周丽	2865
刘玲	2860
陈磊	2843
周燕	2842
陈丹	2840
周杰	2823
张雪	2821
王斌	2818
杨雪	2808
李琼	2799
刘倩	2772
黄燕	2767
刘洪	2762
罗强	2746
周涛	2733
王彬	2722
王成	2722
杨玲	2715
李磊	2709
张毅	2708
王凯	2699
周波	2699
刘斌	2686
张娟	2655
王蓉	2652
杨浩	2651
王琼	2645
杨磊	2637
王东	2634
李素华	2624
杨秀英	2622
杨萍	2606
王兵	2603
李素芳	2597
刘秀英	2593
王华	2587
杨俊	2583
张明	2578
张健	2574
李红梅	2568
杨芳	2566
吴勇	2566
刘兵	2562
陈琳	2558
